version,n_events,sortino,cagr,mdd,avg_position,sortino_delta,cagr_delta,mdd_delta,avg_position_delta
V5_Becker_top5_cap,27,0.32321187680490937,0.07133282373147787,-0.33717284428360483,0.730529778327672,,,,
V5_geo_only,39,0.23586791452666175,0.05817498743061589,-0.33717284428360483,0.6679942420852267,-0.08734396227824762,-0.01315783630086198,0.0,-0.06253553624244523
V5_Becker_top5_cap_geo,34,0.32996678976302407,0.07235805507805715,-0.33717284428360483,0.7254356235670698,0.0067549129581147005,0.0010252313465792806,0.0,-0.005094154760602154
V5_Becker_top5_cap_geo_calibrated,34,0.3177311742983896,0.07052456967536425,-0.33717284428360483,0.7466484929376825,-0.0054807025065197745,-0.000808254056113622,0.0,0.016118714610010576
