theme_removed,n_events,sortino,cagr,mdd,avg_position
monetary_policy,12,0.34132419697469457,0.0742162026417108,-0.33717284428360483,0.7786008222659174
geopolitical,26,0.2570770820670117,0.06140806064781623,-0.33717284428360483,0.7112898420530966
electoral,28,0.27600084564826927,0.06420270655104199,-0.33717284428360483,0.6902869209238125
