version,n_events,sortino,cagr,mdd,avg_position,sortino_delta,cagr_delta,mdd_delta,avg_position_delta
V5_Becker_top5_cap_geo,34,0.32996678976302407,0.07235805507805715,-0.33717284428360483,0.7254356235670698,,,,
V5_Becker_top5_cap_geo_flat,34,0.3177311742983896,0.07052456967536425,-0.33717284428360483,0.7466484929376825,-0.012235615464634475,-0.0018334854026929026,0.0,0.02121286937061273
V5_Becker_top5_cap_geo_subbucket,34,0.316349182285291,0.07031285515547325,-0.33717284428360483,0.7460935387157802,-0.013617607477733051,-0.0020451999225838957,0.0,0.020657915148710404
