metric,observed,mean_boot,ci_lower_95,ci_upper_95,p_value
sortino,0.32996678976302407,0.4541407012081041,-0.6511172816571221,1.805563168503384,0.542
cagr,0.07235805507805715,0.08366791976874266,-0.08988095806543159,0.25356399854677325,
mdd,-0.33717284428360483,-0.31929975295552915,-0.5855384115361777,-0.1405384114386053,
downside_deviation,0.14305723018312339,0.13995618548079042,0.09788971426206175,0.1939775597995083,
