metric,buy_hold,vol_target,cassandra
cagr,0.13986665303738866,0.11455845880437043,0.17843923814756701
total_return,0.9272900371855168,0.7221659943150713,1.2771144982652305
volatility,0.20974567210456307,0.12087219245466527,0.14766587315090726
max_drawdown_daily,-0.33717284428360483,-0.1513719210528892,-0.20268394783484522
max_drawdown_monthly,-0.23927177170136427,-0.14784632848872492,-0.19667299304635633
downside_deviation,0.15128034979394706,0.08804439634312769,0.10256815802964292
cvar_95,-0.031752301514836254,-0.018115977674525694,-0.021260415375794595
sharpe,0.7296598811665918,0.9580226974426992,1.18612588474567
sortino,0.7326954261970706,0.8359160276243035,1.2962086399556272
calmar,0.41482182034726134,0.7568012482601962,0.8803816979772184
avg_position,1.0,0.7728703440351815,0.8408894064296923
days_in_90pct_cash,0,0,1
max_consecutive_cash_days,0,0,1
