date,strategy,position,daily_return,equity,rsi,hazard
2020-01-02,buy_hold,1.0,0.0,1.0,,
2020-01-03,buy_hold,1.0,-0.0075724427376562264,0.9924275572623438,,
2020-01-06,buy_hold,1.0,0.0038149057437186773,0.9962135748507686,,
2020-01-07,buy_hold,1.0,-0.0028117140895841386,0.9934125071061257,,
2020-01-08,buy_hold,1.0,0.005329691324418961,0.9987070891268185,,
2020-01-09,buy_hold,1.0,0.006780567991909958,1.0054788904486454,,
2020-01-10,buy_hold,1.0,-0.0028774047649330337,1.002585720698229,,
2020-01-13,buy_hold,1.0,0.0068773644669493095,1.0094808681088296,,
2020-01-14,buy_hold,1.0,-0.0015246395354396869,1.0079417736670409,,
2020-01-15,buy_hold,1.0,0.002259705812039936,1.010219425551194,,
2020-01-16,buy_hold,1.0,0.008318299408812457,1.0186227332015274,,
2020-01-17,buy_hold,1.0,0.003112433290971106,1.0217931285072839,,
2020-01-21,buy_hold,1.0,-0.0019581594686813864,1.0197922946176639,,
2020-01-22,buy_hold,1.0,0.00012085308085829638,1.019915539658304,,
2020-01-23,buy_hold,1.0,0.0011468261704623561,1.0210852054908452,,
2020-01-24,buy_hold,1.0,-0.00889308704140157,1.0120046058817278,,
2020-01-27,buy_hold,1.0,-0.0160295060539406,0.9957826719251309,,
2020-01-28,buy_hold,1.0,0.010479277027765521,1.006217754403683,,
2020-01-29,buy_hold,1.0,-0.0008260353404740961,1.005386582978333,,
2020-01-30,buy_hold,1.0,0.0032454264815648948,1.008649491218941,,
2020-01-31,buy_hold,1.0,-0.0181579175202502,0.9903345169505451,,
2020-02-03,buy_hold,1.0,0.007428379219187375,0.9976910972963045,,
2020-02-04,buy_hold,1.0,0.015241443016014378,1.0128973493033309,,
2020-02-05,buy_hold,1.0,0.01154790952571938,1.0245941962519267,,
2020-02-06,buy_hold,1.0,0.003365071825304211,1.0280420293141044,,
2020-02-07,buy_hold,1.0,-0.005329838521395902,1.0225627313046521,,
2020-02-10,buy_hold,1.0,0.0074654689475770475,1.0301966416221566,,
2020-02-11,buy_hold,1.0,0.0017332528446214468,1.0319822328817676,,
2020-02-12,buy_hold,1.0,0.006442507148935794,1.038630785794683,,
2020-02-13,buy_hold,1.0,-0.0010667789122341675,1.0375227963748002,,
2020-02-14,buy_hold,1.0,0.001601826897133396,1.0391847282964224,,
2020-02-18,buy_hold,1.0,-0.0025768463130915187,1.0365069089606906,,
2020-02-19,buy_hold,1.0,0.004781431288612525,1.0414628955260583,,
2020-02-20,buy_hold,1.0,-0.004108450758418258,1.0371840965030699,,
2020-02-21,buy_hold,1.0,-0.010298234455230926,1.0265029315040444,,
2020-02-24,buy_hold,1.0,-0.03316535317155456,0.9924585992490766,,
2020-02-25,buy_hold,1.0,-0.0303021191015308,0.9623850005712927,,
2020-02-26,buy_hold,1.0,-0.003678504093598156,0.9588448634070738,,
2020-02-27,buy_hold,1.0,-0.04491149303368702,0.9157817090037804,,
2020-02-28,buy_hold,1.0,-0.004201647230027472,0.9119339173228349,,
2020-03-02,buy_hold,1.0,0.04330641456304862,0.9514265056005226,,
2020-03-03,buy_hold,1.0,-0.028632583459673566,0.92418470677317,,
2020-03-04,buy_hold,1.0,0.042033202278010995,0.963031149495211,,
2020-03-05,buy_hold,1.0,-0.033241560765363776,0.9310184910203277,,
2020-03-06,buy_hold,1.0,-0.01653132364634169,0.9156275230245421,,
2020-03-09,buy_hold,1.0,-0.07809425225267508,0.8441222762719715,,
2020-03-10,buy_hold,1.0,0.05174472418703391,0.8878011506377959,,
2020-03-11,buy_hold,1.0,-0.048748198718997826,0.8445224437235497,,
2020-03-12,buy_hold,1.0,-0.09567715327112847,0.7637209404345037,,
2020-03-13,buy_hold,1.0,0.08548612822385371,0.8290084866757298,,
2020-03-16,buy_hold,1.0,-0.1094237577267766,0.738295262876283,,
2020-03-17,buy_hold,1.0,0.05399190775766782,0.7781572326074224,,
2020-03-18,buy_hold,1.0,-0.050632671789504924,0.7387570528481814,,
2020-03-19,buy_hold,1.0,0.002124755814642887,0.740326731191829,,
2020-03-20,buy_hold,1.0,-0.04309401025771009,0.7084230834437913,,
2020-03-23,buy_hold,1.0,-0.025568329210901575,0.6903098888256984,,
2020-03-24,buy_hold,1.0,0.09060343886626665,0.7528543386366969,,
2020-03-25,buy_hold,1.0,0.014969976320901912,0.7641245502591766,,
2020-03-26,buy_hold,1.0,0.0583896320742876,0.8087415016077404,,
2020-03-27,buy_hold,1.0,-0.02978531299241305,0.7846528828523998,,
2020-03-30,buy_hold,1.0,0.0324755820128122,0.8101349419010624,,
2020-03-31,buy_hold,1.0,-0.014905264485897352,0.7980596663227599,,
2020-04-01,buy_hold,1.0,-0.045005069312212376,0.762142935724623,,
2020-04-02,buy_hold,1.0,0.023075326116876793,0.7797296325141425,,
2020-04-03,buy_hold,1.0,-0.014454064173766046,0.768459370367596,,
2020-04-06,buy_hold,1.0,0.0671662461839766,0.8200739016200896,,
2020-04-07,buy_hold,1.0,0.0010194221819503912,0.8209099031462398,,
2020-04-08,buy_hold,1.0,0.033568419464302,0.8484665511174523,,
2020-04-09,buy_hold,1.0,0.015217253973991207,0.8613778821142429,,
2020-04-13,buy_hold,1.0,-0.009129989241393854,0.8535135113177653,,
2020-04-14,buy_hold,1.0,0.029492797858446496,0.878686012776513,,
2020-04-15,buy_hold,1.0,-0.02124800353350942,0.8600156892721924,,
2020-04-16,buy_hold,1.0,0.004824298477707822,0.8641646616527531,,
2020-04-17,buy_hold,1.0,0.027015445955409723,0.887510455366208,,
2020-04-20,buy_hold,1.0,-0.01761819211446436,0.8718741256599704,,
2020-04-21,buy_hold,1.0,-0.03036276124250159,0.8454016197490418,,
2020-04-22,buy_hold,1.0,0.02219423462812986,0.8641646616527531,,
2020-04-23,buy_hold,1.0,-7.172582735837096e-05,0.8641026787274222,,
2020-04-24,buy_hold,1.0,0.013938366348973164,0.8761468584266541,,
2020-04-27,buy_hold,1.0,0.01441901626093256,0.888780034225273,,
2020-04-28,buy_hold,1.0,-0.004598543750138906,0.8846929403536381,,
2020-04-29,buy_hold,1.0,0.02617839917226461,0.9078527852911001,,
2020-04-30,buy_hold,1.0,-0.009310591125336165,0.8994001392052571,,
2020-05-01,buy_hold,1.0,-0.026473887939000074,0.8755895207076161,,
2020-05-04,buy_hold,1.0,0.002758945587571393,0.8780052245522961,,
2020-05-05,buy_hold,1.0,0.009239001479586673,0.8861171161210196,,
2020-05-06,buy_hold,1.0,-0.00677881405452907,0.8801102929602996,,
2020-05-07,buy_hold,1.0,0.012066673934841843,0.8907302968921497,,
2020-05-08,buy_hold,1.0,0.016546474678490464,0.9054687431950399,,
2020-05-11,buy_hold,1.0,0.00020502338122119212,0.9056543854583599,,
2020-05-12,buy_hold,1.0,-0.019931566538478274,0.8876032748137319,,
2020-05-13,buy_hold,1.0,-0.017685950032489406,0.8719051676467023,,
2020-05-14,buy_hold,1.0,0.011967432321909666,0.8823396337316376,,
2020-05-15,buy_hold,1.0,0.004597157178597211,0.8863958877128079,,
2020-05-18,buy_hold,1.0,0.030459188379994506,0.9133947870359047,,
2020-05-19,buy_hold,1.0,-0.010270652602789698,0.9040136264890598,,
2020-05-20,buy_hold,1.0,0.016987626831334257,0.9193706726262971,,
2020-05-21,buy_hold,1.0,-0.006903816858362499,0.9130235058775357,,
2020-05-22,buy_hold,1.0,0.0018992870951781704,0.9147575996398432,,
2020-05-26,buy_hold,1.0,0.012320490314574828,0.9260278617863895,,
2020-05-27,buy_hold,1.0,0.014878562675227025,0.9398058253669848,,
2020-05-28,buy_hold,1.0,-0.0018447245020560832,0.9380721425337553,,
2020-05-29,buy_hold,1.0,0.004455854864071851,0.9422520558529146,,
2020-06-01,buy_hold,1.0,0.004041834318741833,0.946060482549166,,
2020-06-02,buy_hold,1.0,0.008280158669037085,0.9538940134551789,,
2020-06-03,buy_hold,1.0,0.013308342033607534,0.966588761250051,,
2020-06-04,buy_hold,1.0,-0.0026268185639171104,0.9640497079483257,,
2020-06-05,buy_hold,1.0,0.02562969132476911,0.9887580043847751,,
2020-06-08,buy_hold,1.0,0.012087452807709953,1.0007095701010216,,
2020-06-09,buy_hold,1.0,-0.007456958512838896,0.9932473203533774,,
2020-06-10,buy_hold,1.0,-0.0055798863946313615,0.9877051131440335,,
2020-06-11,buy_hold,1.0,-0.057648789026178204,0.9307651094563156,,
2020-06-12,buy_hold,1.0,0.01197552486555975,0.9419115101686052,,
2020-06-15,buy_hold,1.0,0.009335475440339636,0.9507047019387574,,
2020-06-16,buy_hold,1.0,0.01924808804792222,0.9690039497492483,,
2020-06-17,buy_hold,1.0,-0.0041541806511917745,0.9649785322902715,,
2020-06-18,buy_hold,1.0,0.00038528992242903293,0.9653503287941233,,
2020-06-19,buy_hold,1.0,-0.005715155315068832,0.9598332017316121,,
2020-06-22,buy_hold,1.0,0.006415302833964631,0.9659908223908142,,
2020-06-23,buy_hold,1.0,0.004603741626881375,0.9704379945510402,,
2020-06-24,buy_hold,1.0,-0.025508531844863014,0.94568354606357,,
2020-06-25,buy_hold,1.0,0.010720303298271672,0.9558215605015565,,
2020-06-26,buy_hold,1.0,-0.023751523387657625,0.9331193423528764,,
2020-06-29,buy_hold,1.0,0.014697742556111892,0.9468340902209075,,
2020-06-30,buy_hold,1.0,0.012809172091049259,0.9589622510242192,,
2020-07-01,buy_hold,1.0,0.0070049941941574545,0.9656797760250599,,
2020-07-02,buy_hold,1.0,0.005506915993384265,0.9709976934281401,,
2020-07-06,buy_hold,1.0,0.01543717708293224,0.9859871567687091,,
2020-07-07,buy_hold,1.0,-0.0103138932752328,0.9758177904630464,,
2020-07-08,buy_hold,1.0,0.007648756241961818,0.983281582878868,,
2020-07-09,buy_hold,1.0,-0.005692786276713657,0.9776839709777099,,
2020-07-10,buy_hold,1.0,0.010210555778740193,0.987666667697358,,
2020-07-13,buy_hold,1.0,-0.008658733759526416,0.979114724978608,,
2020-07-14,buy_hold,1.0,0.012958921243643395,0.9918029955880973,,
2020-07-15,buy_hold,1.0,0.009186950437388486,1.0009146405522185,,
2020-07-16,buy_hold,1.0,-0.003293410251778428,0.9976182180138686,,
2020-07-17,buy_hold,1.0,0.0028990473264209893,1.0005103604415906,,
2020-07-20,buy_hold,1.0,0.008081555176722377,1.0085960401243816,,
2020-07-21,buy_hold,1.0,0.002127689722915882,1.010742019553528,,
2020-07-22,buy_hold,1.0,0.00569219487987227,1.0164953601021023,,
2020-07-23,buy_hold,1.0,-0.01193165375888905,1.0043668894178468,,
2020-07-24,buy_hold,1.0,-0.0064407464619276045,0.9978980169283516,,
