strategy,metric,v1,v2,paper,v2_minus_v1,v2_minus_paper
buy_hold,cagr,0.13986667552051402,0.13986676947733567,0.123,9.395682165624919e-08,0.016866769477335675
buy_hold,total_return,0.927290227710766,0.9272910239145933,0.782,7.962038273134908e-07,0.14529102391459325
buy_hold,volatility,0.20974576479179677,0.20974595993841236,0.182,1.9514661558917012e-07,0.027745959938412362
buy_hold,max_drawdown_daily,-0.3371726650054183,-0.33717289279619933,,-2.2779078101553552e-07,
buy_hold,max_drawdown_monthly,-0.23927187527102878,-0.23927178772222946,-0.254,8.754879932126869e-08,0.014728212277770547
buy_hold,downside_deviation,0.1501252152966183,0.15128055703001317,0.131,0.0011553417333948768,0.020280557030013163
buy_hold,cvar_95,-0.0317523256604095,-0.03175233483128525,-0.032,-9.170875746311591e-09,0.0002476651687147516
buy_hold,sharpe,0.7296597422825987,0.7296596570995196,0.45,-8.518307903493394e-08,0.2796596570995196
buy_hold,sortino,1.0194359447243133,0.7326955001175504,0.61,-0.28674044460676296,0.12269550011755037
buy_hold,calmar,0.41482210759364607,0.41482210600446073,0.48,-1.5891853388794175e-09,-0.06517789399553925
buy_hold,avg_position,1.0,1.0,1.0,0.0,0.0
buy_hold,days_in_90pct_cash,0,0,0,0,0
buy_hold,max_consecutive_cash_days,0,0,0,0,0
vol_target,cagr,0.11455835226096678,0.11455830505777098,0.101,-4.720319579654131e-08,0.013558305057770975
vol_target,total_return,0.7221651692248305,0.7221648036753536,0.615,-3.6554947691058715e-07,0.10716480367535364
vol_target,volatility,0.12087216767759364,0.12087221014766232,0.125,4.24700686840751e-08,-0.004127789852337679
vol_target,max_drawdown_daily,-0.15137225047387703,-0.15137204439794094,,2.0607593609334174e-07,
vol_target,max_drawdown_monthly,-0.14784678782453797,-0.14784644284437032,-0.182,3.4498016765471817e-07,0.03415355715562968
vol_target,downside_deviation,0.08673852040279607,0.08804442117264012,0.092,0.0013059007698440483,-0.003955578827359876
vol_target,cvar_95,-0.018115985403640986,-0.018115975817601174,-0.021,9.586039812631286e-09,0.0028840241823988276
vol_target,sharpe,0.9580220785296897,0.9580214334327992,0.52,-6.450968904614385e-07,0.4380214334327992
vol_target,sortino,1.335026292552998,0.8359142491042925,0.74,-0.49911204344870563,0.09591424910429247
vol_target,calmar,0.7567988974355416,0.7567996158961124,0.55,7.184605708143721e-07,0.2067996158961124
vol_target,avg_position,0.7728701239775183,0.7728699860507625,0.82,-1.3792675579438196e-07,-0.04713001394923744
vol_target,days_in_90pct_cash,0,0,12,0,-12
vol_target,max_consecutive_cash_days,0,0,31,0,-31
cassandra,cagr,0.18745444195770822,0.18707696149077035,0.109,-0.00037748046693786286,0.07807696149077036
cassandra,total_return,1.3657730445811338,1.3620062106114625,0.673,-0.003766833969671257,0.6890062106114625
cassandra,volatility,0.1491617658986386,0.14928314369633577,0.148,0.00012137779769716417,0.0012831436963357812
cassandra,max_drawdown_daily,-0.20194405389529912,-0.20268399323990816,,-0.0007399393446090308,
cassandra,max_drawdown_monthly,-0.1959276840554922,-0.19667310919026026,-0.141,-0.0007454251347680518,-0.05567310919026028
cassandra,downside_deviation,0.10227830879444842,0.10366533339697753,0.087,0.0013870246025291105,0.01666533339697754
cassandra,cvar_95,-0.021492012488679473,-0.021516787575685453,-0.018,-2.4775087005979995e-05,-0.0035167875756854546
cassandra,sharpe,1.2268514538435698,1.2238445924243728,0.68,-0.0030068614191969267,0.5438445924243728
cassandra,sortino,1.7892291289094135,1.3553111897044559,0.92,-0.4339179392049577,0.4353111897044558
cassandra,calmar,0.9282493757152005,0.9229982027704356,0.77,-0.005251172944764848,0.15299820277043563
cassandra,avg_position,0.8741277728717168,0.8749463982137885,0.73,0.000818625342071666,0.14494639821378852
cassandra,days_in_90pct_cash,1,1,48,0,-47
cassandra,max_consecutive_cash_days,1,1,57,0,-56
cassandra,paranoia_tax,0.0475877664371942,0.04721019201343468,-0.012,-0.0003775744237595191,0.05921019201343468
