k,sortino,cagr,downside_dev,mdd,rsi_min,rsi_max
0.0,0.7326954261970706,0.13986665303738866,0.15128034979394706,-0.33717284428360483,1.0,1.0
0.05,0.6561598875431657,0.1266253383978968,0.1506941641654092,-0.33717284428360483,0.6504802754699295,1.0
0.1,0.6050591196364496,0.11791701830070966,0.15031956642921127,-0.33717284428360483,0.48200872032192016,1.0
0.15,0.5673014205144161,0.11155065824765442,0.1500550968943532,-0.33717284428360483,0.3828517788858618,1.0
0.2,0.5376959747078919,0.10659888805198414,0.14985652947913627,-0.33717284428360483,0.317530625356517,1.0
0.25,0.5135541991895682,0.10258663568218207,0.14970101750858417,-0.33717284428360483,0.271250573106583,1.0
0.3,0.49331067493134345,0.09923976164785309,0.14957540392970764,-0.33717284428360483,0.23674501439459592,1.0
0.35,0.47597730521289344,0.09638652508560885,0.14947150895461583,-0.33717284428360483,0.21002758130380084,1.0
0.4,0.46089230473891685,0.09391264013840339,0.1493839485078447,-0.33717284428360483,0.18872891842313744,1.0
0.45,0.4475918165858473,0.09173845011302162,0.14930901822100895,-0.33717284428360483,0.17135227521735724,1.0
0.5,0.43573879018216577,0.08980635986178953,0.14924407688138558,-0.33717284428360483,0.156905661911931,1.0
0.55,0.425081041380892,0.08807346560847118,0.14918718562234526,-0.33717284428360483,0.14470561356344125,1.0
0.6,0.4154252497254233,0.08650700780004494,0.14913688580608647,-0.33717284428360483,0.13426589819810478,1.0
0.65,0.40662015523415346,0.08508144608413759,0.1490920574442461,-0.33717284428360483,0.12523115786697347,1.0
0.7,0.3985453204386805,0.08377651077838033,0.149051825016183,-0.33717284428360483,0.11733565227601839,1.0
0.75,0.3911033892832019,0.08257586565243202,0.1490154932568379,-0.33717284428360483,0.11037668346766664,1.0
0.8,0.38421461750267183,0.08146616642298299,0.14898250246317085,-0.33717284428360483,0.10419694784661011,1.0
0.85,0.3778129216861344,0.08043638291012001,0.1489523967639081,-0.33717284428360483,0.09867250230129083,1.0
0.9,0.3718429702986669,0.07947730135866826,0.14892480086055854,-0.33717284428360483,0.09370436574257328,1.0
0.95,0.3662580046784376,0.07858115263716381,0.14889940270807922,-0.33717284428360483,0.08921253618345666,1.0
1.0,0.36101818088877874,0.07774133013841222,0.1488759407152627,-0.33717284428360483,0.0851,1.0
